우리가 만들어 놓은 문장에 대해 평가해보고, 어떤걸 좋다고 생각하는지 파악해서 이를 프레임워크에 반영하는 작업을 해보자				
				
		쓸지 말지 판단		
		문장 다듬기(-요?)		
	267	운명적인 만남은 있을까요?	운명적인 만남은 있을까요?	
	268	나의 운명을 아는게 좋은 일일까요?	나의 운명을 아는게 좋은 일일까요?	
	269	악마가 내 인생을 담보로 무엇이든 할 수 있는 능력을 준다면, 계약할 것인가요?		
	270	좋아하는 향기가 있나요?	좋아하는 향기가 있나요?	
	271	내 마음에서는 어떤 향이 날까요?	내 마음에서는 어떤 향이 날까요?	
	272	향기로 기억하는 사람이 있나요?	향기로 기억하는 사람이 있나요?	
	273	향기와 냄새의 차이는 무엇일까요?		
	274	향기로웠던 추억에대해 이야기해 주세요		
	275	버릴 수 없는 골동품이 있나요?	버릴 수 없는 물건이 있나요?	
	276	오래될수록 좋다고 생각 하는 것이 있나요?	오래될수록 좋다고 생각하는 것이 있나요?	
	277	오래될수록 가치 있어지는 일은 무엇이 있을까요?		
	278	아직까지 나를 괴롭히는 해묵은 기억이 있나요?	아직까지 나를 괴롭히는 해묵은 기억이 있나요?	
	279	나는 오래되었나요?	나는 오래되었나요?	
